,DJI,HSI,OMX20,STI,FTSE,
10/04/2000,0.006734218,-0.005382285,-0.022655899,-0.011025398,-0.005571147,
11/04/2000,0.008945639,-0.02178235,-0.028644799,0.002090032,-0.023878588,
12/04/2000,-0.014452076,0.005409399,0.024896641,0.001879643,-0.004465044,
13/04/2000,-0.018286029,-0.013637162,0.011131174,0.013262849,0.000975779,
14/04/2000,-0.058216878,-0.012912808,-0.046559125,0.0118798,-0.02854255,
17/04/2000,0.026498699,-0.089390277,-0.022165973,-0.090949815,-0.030159959,
18/04/2000,0.017321986,0.034353455,0.032623244,0.003883636,0.013169893,
19/04/2000,-0.008623487,0.009697355,0.009285939,0.025450947,0.018088502,
20/04/2000,0.015715435,-0.003900722,0,0.010320976,0.009063222,
21/04/2000,0,0,0,0,0,
24/04/2000,0.00570566,0,0,-0.014765223,0,
25/04/2000,0.019856503,0.000837151,0.036693767,0.008346458,0.006667123,
26/04/2000,-0.016250463,-0.009972834,0.033550278,0.020040137,-0.00421708,
27/04/2000,-0.005257333,-0.002269541,-0.021006853,0.020148457,-0.012420722,
28/04/2000,-0.014263021,0.021258172,-0.007887167,0.005741669,0.023689154,
01/05/2000,0.007228795,0,0.020861297,0,0,
02/05/2000,-0.007488728,0.019048949,0.013250215,0.001265309,0.00723736,
03/05/2000,-0.023667032,-0.01530772,-0.014319236,-0.010027727,-0.030038458,
04/05/2000,-0.006474437,-0.017053626,-0.005917484,-0.011453397,0.002388496,
05/05/2000,0.015756506,-0.002970962,0.00246122,-0.001151172,0.00631272,
08/05/2000,0.002433523,-0.024372727,-0.015491744,-0.018572432,-0.003619393,
09/05/2000,-0.006327885,-0.008363174,-0.002640707,0.004845459,-0.014990423,
10/05/2000,-0.016164995,-0.019404896,-0.002824462,-0.015559674,-0.003789129,
11/05/2000,0.017039645,0,-0.014063928,-0.026350104,0.023526724,
12/05/2000,0.005993776,0.041824906,0.016394684,0.011378731,0.005997146,
15/05/2000,0.018528672,-0.015379769,-0.001235331,-0.007523357,-0.005705797,
16/05/2000,0.011663085,0.018574118,0.016810061,0.021244691,0.011246285,
17/05/2000,-0.01518898,-0.022175038,-0.005956234,-0.021060762,-0.019520252,
